AID	role	content	content_segmented	number	songtablet	action	book
669	NULL	天斷雲霓	天/斷/雲霓	7.015	NULL	NULL	荔鏡記--嘉靖
670	NULL	月光風靜	月光/風/靜	7.016	NULL	NULL	荔鏡記--嘉靖
671	NULL	幾陣歌童舞妓	幾/陣/歌/童/舞/妓	7.017	NULL	NULL	荔鏡記--嘉靖
672	內唱	情人彈出雉朝飛	情人/彈/出/雉/朝/飛	7.018	NULL	NULL	荔鏡記--嘉靖
673	NULL	有意佳人去復歸	有意/佳人/去/復/歸	7.019	NULL	NULL	荔鏡記--嘉靖
674	NULL	夜夢相思睡難曉	夜/夢/相思/睡/難/曉	7.02	NULL	NULL	荔鏡記--嘉靖
675	NULL	只怕光陰似箭催	只/怕/光陰/似/箭/催	7.021	NULL	NULL	荔鏡記--嘉靖
676	旦唱	笙簫和起入人耳	笙/簫/和/起/入/人/耳	7.022	NULL	NULL	荔鏡記--嘉靖
677	NULL	真箇稱人心意	真/箇/稱/人心/意	7.023	NULL	NULL	荔鏡記--嘉靖
678	NULL	恨織女牛郎伊都不能相見	恨/織女/牛郎/伊/都/不/能/相見	7.024	NULL	NULL	荔鏡記--嘉靖
679	介	官民同樂是太平年	官/民/同樂/是/太平/年	7.025	NULL	NULL	荔鏡記--嘉靖
680	NULL	無貴賤	無/貴賤	7.026	NULL	NULL	荔鏡記--嘉靖
681	NULL	無驕無侈	無/驕/無/侈	7.027	NULL	NULL	荔鏡記--嘉靖
682	NULL	見許賞燈人盡都歡喜	見/許/賞/燈/人/盡/都/歡喜	7.028	NULL	NULL	荔鏡記--嘉靖
683	NULL	看許賞燈人盡都歡喜	看/許/賞/燈/人/盡/都/歡喜	7.029	NULL	NULL	荔鏡記--嘉靖
684	NULL	真難得有障般天時	真/難得/有/障/般/天時	7.03	NULL	NULL	荔鏡記--嘉靖
685	NULL	元宵一刻值千金	元宵/一/刻/值/千金	7.031	NULL	NULL	荔鏡記--嘉靖
686	NULL	那煩惱鼓轉五更	那/煩惱/鼓/轉/五/更	7.032	NULL	NULL	荔鏡記--嘉靖
687	NULL	又驚畏雞報五更	又/驚畏/雞/報/五/更	7.033	NULL	NULL	荔鏡記--嘉靖
688	NULL	只正是乜燈	只/正是/乜/燈	7.034	NULL	旦占同丑上介 淨末闌介	荔鏡記--嘉靖
689	末	只正是琴、棋、書、畫	只/正是/琴/、/棋/、/書/、/畫	7.035	NULL	NULL	荔鏡記--嘉靖
690	淨	只是乜燈	只是/乜/燈	7.036	NULL	NULL	荔鏡記--嘉靖
691	末	只是相如彈琴	只是/相/如/彈琴	7.037	NULL	NULL	荔鏡記--嘉靖
692	淨	只是乜物燈	只是/乜/物/燈	7.038	NULL	NULL	荔鏡記--嘉靖
693	末	只是蘇秦讀書	只是/蘇/秦/讀書	7.039	NULL	NULL	荔鏡記--嘉靖
694	淨	許是乜燈	許/是/乜/燈	7.04	NULL	NULL	荔鏡記--嘉靖
695	末	許正是鴛鴦个鴨相踏燈	許/正是/鴛鴦/个/鴨/相踏/燈	7.041	NULL	NULL	荔鏡記--嘉靖
696	占	燈古燈	燈/古/燈	7.042	NULL	NULL	荔鏡記--嘉靖
697	淨	中你目真真	中/你/目/真/真	7.043	NULL	NULL	荔鏡記--嘉靖
698	淨	卓兄	卓/兄	7.044	NULL	NULL	荔鏡記--嘉靖
699	NULL	只老娘你識伊	只/老/娘/你/識/伊	7.045	NULL	NULL	荔鏡記--嘉靖
700	末	只是西門外李哥嫂	只是/西門/外/李/哥/嫂	7.046	NULL	NULL	荔鏡記--嘉靖
701	淨	正是趕豬羔个李哥嫂	正是/趕/豬/羔/个/李/哥/嫂	7.047	NULL	NULL	荔鏡記--嘉靖
702	末	正是	正是	7.048	NULL	NULL	荔鏡記--嘉靖
703	淨	李嫂來答歌	李/嫂/來/答/歌	7.049	NULL	NULL	荔鏡記--嘉靖
704	丑	我去共阮啞娘說	我/去/共/阮/啞/娘/說	7.05	NULL	NULL	荔鏡記--嘉靖
705	旦	乜事	乜/事	7.051	NULL	NULL	荔鏡記--嘉靖
706	丑	西街林大爹卜共恁答歌	西/街/林/大/爹/卜/共/恁/答/歌	7.052	NULL	NULL	荔鏡記--嘉靖
707	旦	向般人共伊答一乜歌	向/般/人/共/伊/答/一/乜/歌	7.053	NULL	NULL	荔鏡記--嘉靖
708	丑	懶只潮州人風俗	懶/只/潮州/人/風俗	7.054	NULL	NULL	荔鏡記--嘉靖
709	NULL	看燈答歌一年去無病	看/燈/答/歌/一/年/去/無/病	7.055	NULL	NULL	荔鏡記--嘉靖
710	淨	李嫂	李/嫂	7.056	NULL	NULL	荔鏡記--嘉靖
711	NULL	共我答	共/我/答	7.057	NULL	NULL	荔鏡記--嘉靖
712	NULL	今夜正是元宵	今夜/正是/元宵	7.058	NULL	NULL	荔鏡記--嘉靖
713	NULL	都卜燈字為題	都/卜/燈/字/為題	7.059	NULL	NULL	荔鏡記--嘉靖
714	NULL	那無燈字	那/無/燈/字	7.06	NULL	NULL	荔鏡記--嘉靖
715	NULL	斷定著乞人[番+炭]	斷定/著/乞/人/[/番/+/炭/]	7.061	NULL	NULL	荔鏡記--嘉靖
716	丑	我今老了	我/今/老/了	7.062	NULL	NULL	荔鏡記--嘉靖
717	NULL	句不食[番+炭]	句/不/食/[/番/+/炭/]	7.063	NULL	NULL	荔鏡記--嘉靖
718	NULL	[番+炭]著愛尿流	[/番/+/炭/]/著愛/尿/流	7.064	NULL	NULL	荔鏡記--嘉靖
719	淨	你起	你/起	7.065	NULL	NULL	荔鏡記--嘉靖
720	丑	你先起	你/先/起	7.066	NULL	NULL	荔鏡記--嘉靖
721	唱	恁今向片，阮障片	恁/今/向/片/，/阮/障/片	7.067	NULL	答歌	荔鏡記--嘉靖
722	NULL	恁今唱歌阮著還	恁/今/唱歌/阮/著/還	7.068	NULL	NULL	荔鏡記--嘉靖
723	NULL	恁今還頭阮還尾	恁/今/還/頭/阮/還/尾	7.069	NULL	NULL	荔鏡記--嘉靖
724	NULL	恰是絲線纏竹片	恰/是/絲/線/纏/竹/片	7.07	NULL	NULL	荔鏡記--嘉靖
725	丑占唱	阮今障邊恁向邊	阮/今/障/邊/恁/向/邊	7.071	NULL	NULL	荔鏡記--嘉靖
726	NULL	阮今唱歌恁著還	阮/今/唱歌/恁/著/還	7.072	NULL	NULL	荔鏡記--嘉靖
727	NULL	阮今還頭恁還尾	阮/今/還/頭/恁/還/尾	7.073	NULL	NULL	荔鏡記--嘉靖
728	NULL	恰是絲線纏竹枝	恰/是/絲/線/纏/竹枝	7.074	NULL	NULL	荔鏡記--嘉靖
729	淨末唱	阮唱山歌乞恁知	阮/唱/山歌/乞/恁/知	7.075	NULL	NULL	荔鏡記--嘉靖
730	NULL	待恁聽知我也知	待/恁/聽/知/我/也/知	7.076	NULL	NULL	荔鏡記--嘉靖
731	NULL	待恁坐落祙走起	待/恁/坐落/祙/走/起	7.077	NULL	NULL	荔鏡記--嘉靖
732	NULL	待你走起我便來	待/你/走/起/我/便/來	7.078	NULL	NULL	荔鏡記--嘉靖
733	丑占唱	阮唱山歌乞恁聽	阮/唱/山歌/乞/恁/聽	7.079	NULL	NULL	荔鏡記--嘉靖
734	NULL	待恁坐聽立亦聽	待/恁/坐/聽/立/亦/聽	7.08	NULL	NULL	荔鏡記--嘉靖
735	NULL	待恁坐落祙走起	待/恁/坐落/祙/走/起	7.081	NULL	NULL	荔鏡記--嘉靖
736	NULL	待恁起來又祙行	待/恁/起來/又/祙/行	7.082	NULL	NULL	荔鏡記--嘉靖
737	淨末	月朗朗	月/朗/朗	7.083	NULL	NULL	荔鏡記--嘉靖
738	NULL	照見月底梭掏紅	照/見/月底/梭/掏/紅	7.084	NULL	NULL	荔鏡記--嘉靖
739	NULL	斧頭破你你不開	斧頭/破/你/你/不/開	7.085	NULL	NULL	荔鏡記--嘉靖
740	NULL	斧柄擇你著一空	斧/柄/擇/你/著/一/空	7.086	NULL	NULL	荔鏡記--嘉靖
741	占旦唱	月圓R	月圓/R	7.087	NULL	NULL	荔鏡記--嘉靖
742	NULL	照恁未是好人兒	照/恁/未是/好人/兒	7.088	NULL	NULL	荔鏡記--嘉靖
743	淨	正是西街林大爹	正是/西/街/林/大/爹	7.089	NULL	NULL	荔鏡記--嘉靖
744	占	想恁那是作田簡	想/恁/那/是/作/田/簡	7.09	NULL	NULL	荔鏡記--嘉靖
745	NULL	大厝人仔向大鼻	大厝/人/仔/向/大/鼻	7.091	NULL	NULL	荔鏡記--嘉靖
746	淨	月炮R	月/炮/R	7.092	NULL	NULL	荔鏡記--嘉靖
747	NULL	照見恁是人阿頭	照/見/恁/是/人/阿/頭	7.093	NULL	NULL	荔鏡記--嘉靖
748	NULL	看恁大厝飼个簡	看/恁/大厝/飼/个/簡	7.094	NULL	NULL	荔鏡記--嘉靖
749	NULL	十个九个討本頭	十/个/九/个/討/本/頭	7.095	NULL	NULL	荔鏡記--嘉靖
750	丑	看恁好無道理	看/恁好/無道理	7.096	好好姐	NULL	荔鏡記--嘉靖
751	淨	無道理值情擇槌仔橋恁後門	無道理/值/情/擇/槌仔/橋/恁/後門	7.097	NULL	NULL	荔鏡記--嘉靖
752	旦	恁行開去	恁/行/開去	7.098	NULL	NULL	荔鏡記--嘉靖
753	NULL	莫得來相纏	莫/得來/相/纏	7.099	NULL	NULL	荔鏡記--嘉靖
754	NULL	閑言野語你莫聽	閑/言/野/語/你/莫/聽	7.1	NULL	NULL	荔鏡記--嘉靖
755	NULL	伊俗子村夫識乜體例	伊/俗/子/村/夫/識/乜/體/例	7.101	NULL	NULL	荔鏡記--嘉靖
756	NULL	花燈萬盞巧安排	花燈/萬/盞/巧/安排	7.102	NULL	旦占丑下淨末下介	荔鏡記--嘉靖
757	NULL	障般好景是蓬萊	障/般/好景/是/蓬萊	7.103	NULL	NULL	荔鏡記--嘉靖
758	NULL	一陣娘仔相隨過	一陣/娘仔/相隨/過	7.104	NULL	NULL	荔鏡記--嘉靖
759	NULL	疑是觀音降下來	疑/是/觀音/降下/來	7.105	NULL	NULL	荔鏡記--嘉靖
760	NULL	士女同遊	士/女/同/遊	8	NULL	第八出	荔鏡記--嘉靖
761	NULL	正月十五冥	正月/十/五/冥	8.001	大迓鼓	旦占丑上	荔鏡記--嘉靖
762	NULL	厝厝人點燈	厝/厝/人/點燈	8.002	NULL	NULL	荔鏡記--嘉靖
763	NULL	是實可吝	是/實/可/吝	8.003	NULL	NULL	荔鏡記--嘉靖
764	NULL	三街六巷好燈棚	三/街/六/巷/好/燈/棚	8.004	NULL	NULL	荔鏡記--嘉靖
765	NULL	又兼月光風又靜	又/兼/月光/風/又/靜	8.005	NULL	NULL	荔鏡記--嘉靖
766	NULL	來去得桃到五更	來去/得/桃/到/五/更	8.006	NULL	NULL	荔鏡記--嘉靖
767	生	潮州好街市	潮州/好/街市	8.007	NULL	NULL	荔鏡記--嘉靖
768	NULL	又兼逢著上元冥	又/兼/逢/著/上元/冥	8.008	NULL	NULL	荔鏡記--嘉靖
769	NULL	來去看景致	來去/看/景致	8.009	NULL	NULL	荔鏡記--嘉靖
770	NULL	一位娘仔乜親淺	一/位/娘仔/乜/親/淺	8.01	NULL	NULL	荔鏡記--嘉靖
771	NULL	恰是仙女下瑤池	恰/是/仙女/下/瑤池	8.011	NULL	NULL	荔鏡記--嘉靖
772	NULL	RRRR	RRRR	8.012	NULL	NULL	荔鏡記--嘉靖
773	占	只一人都不是恁潮州人	只/一/人/都/不是/恁/潮州/人	8.013	NULL	生下，旦笑，丑臨，占介	荔鏡記--嘉靖
774	丑	只一人我八伊	只/一/人/我/八/伊	8.014	NULL	NULL	荔鏡記--嘉靖
775	占	正是乜人	正是/乜人	8.015	NULL	NULL	荔鏡記--嘉靖
776	丑	是興化人	是/興/化人	8.016	NULL	NULL	荔鏡記--嘉靖
777	占	興化人來只處幹乜事	興/化人/來/只/處/幹/乜/事	8.017	.	NULL	荔鏡記--嘉靖
778	丑	來縛籠床	來/縛/籠床	8.018	NULL	NULL	荔鏡記--嘉靖
779	占	縛籠床都拙哄	縛/籠床/都/拙/哄	8.019	NULL	NULL	荔鏡記--嘉靖
780	丑	卜畏天上差來个人	卜/畏/天/上/差/來/个/人	8.02	NULL	NULL	荔鏡記--嘉靖
781	占	天上差來卜乜事	天/上/差/來/卜/乜/事	8.021	NULL	NULL	荔鏡記--嘉靖
782	丑	天上差落來	天/上/差/落來	8.022	NULL	NULL	荔鏡記--嘉靖
783	NULL	專共許一火簡仔打獅尾	專/共/許/一/火/簡仔/打/獅/尾	8.023	NULL	NULL	荔鏡記--嘉靖
784	占	李婆	李/婆	8.024	NULL	NULL	荔鏡記--嘉靖
785	NULL	莫茹呾	莫/茹/呾	8.025	NULL	NULL	荔鏡記--嘉靖
786	旦	好天時，好月色	好天/時/，/好/月色	8.026	滴留子	NULL	荔鏡記--嘉靖
787	NULL	實是清氣	實/是/清氣	8.027	NULL	NULL	荔鏡記--嘉靖
788	NULL	好人物，好打扮	好人/物/，/好/打扮	8.028	NULL	NULL	荔鏡記--嘉靖
789	NULL	宮娥無二	宮/娥/無/二	8.029	NULL	NULL	荔鏡記--嘉靖
790	NULL	鰲山上神仙景致	鰲/山/上/神仙/景致	8.03	NULL	NULL	荔鏡記--嘉靖
791	NULL	香車寶馬，來往都佃	香/車/寶/馬/，/來往/都/佃	8.031	NULL	NULL	荔鏡記--嘉靖
792	NULL	王孫、士女都同遊嬉	王/孫/、/士/女/都/同/遊/嬉	8.032	NULL	NULL	荔鏡記--嘉靖
793	NULL	可惜今冥燈光月圓	可惜/今/冥/燈光/月圓	8.033	NULL	NULL	荔鏡記--嘉靖
794	NULL	人未團圓	人/未/團圓	8.034	NULL	NULL	荔鏡記--嘉靖
795	合	琉璃燈、牡丹燈諸般可吝	琉璃燈/、/牡丹/燈/諸/般/可/吝	8.035	NULL	NULL	荔鏡記--嘉靖
796	NULL	金爐內寶鴨香烟微微	金爐/內/寶/鴨/香/烟/微/微	8.036	NULL	NULL	荔鏡記--嘉靖
797	淨唱	得桃障更深	得/桃/障/更深	8.037	NULL	NULL	荔鏡記--嘉靖
798	NULL	殘月更催風露冷	殘/月/更/催/風/露/冷	8.038	NULL	NULL	荔鏡記--嘉靖
799	NULL	作笑動我心	作/笑/動/我/心	8.039	NULL	NULL	荔鏡記--嘉靖
800	NULL	一位娘仔賽觀音	一/位/娘仔/賽/觀音	8.04	NULL	NULL	荔鏡記--嘉靖
801	NULL	真个悶殺人心	真/个/悶/殺人/心	8.041	NULL	NULL	荔鏡記--嘉靖
802	NULL	刈吊人心	刈/吊/人心	8.042	NULL	NULL	荔鏡記--嘉靖
803	NULL	不得伊著侢甘心	不/得/伊/著/侢/甘心	8.043	NULL	NULL	荔鏡記--嘉靖
804	旦	歌聲和起動人心意	歌聲/和/起動/人心/意	8.044	NULL	NULL	荔鏡記--嘉靖
805	NULL	障般樣光景實是惡[扌+(NULL,(NULL,ㄊ+廾))]	障/般/樣/光景/實/是/惡/[/扌/+/(/NULL/,/(/NULL/,/ㄊ/+/廾/)/)/]	8.045	NULL	NULL	荔鏡記--嘉靖
806	NULL	返頭不覺見，月斜斗星移	返頭/不覺/見/，/月/斜/斗/星/移	8.046	NULL	NULL	荔鏡記--嘉靖
807	NULL	恁今得桃更深	恁/今/得/桃/更深	8.047	NULL	NULL	荔鏡記--嘉靖
808	NULL	合該回避	合該/回避	8.048	NULL	NULL	荔鏡記--嘉靖
809	生	香車寶馬鬧滿處	香/車/寶/馬/鬧/滿/處	8.049	NULL	生淨上旦占丑下	荔鏡記--嘉靖
810	NULL	琵琶、龍笛、琴絃聲和	琵琶/、/龍/笛/、/琴/絃/聲/和	8.05	NULL	NULL	荔鏡記--嘉靖
811	NULL	蓬萊景致正是只處	蓬萊/景致/正是/只/處	8.051	NULL	NULL	荔鏡記--嘉靖
812	NULL	見許一陣娘仔，RR	見/許/一陣/娘仔/，/RR	8.052	NULL	NULL	荔鏡記--嘉靖
813	NULL	相挨相捒	相挨/相/捒	8.053	NULL	NULL	荔鏡記--嘉靖
814	NULL	在只燈下行過	在/只/燈/下行/過	8.054	NULL	NULL	荔鏡記--嘉靖
815	淨	滿頭帶珠翠	滿/頭/帶/珠/翠	8.055	NULL	NULL	荔鏡記--嘉靖
816	NULL	真个雲鬢金髻	真/个/雲/鬢/金/髻	8.056	NULL	NULL	荔鏡記--嘉靖
817	生	畜生！我曉得了	畜生/！/我/曉/得/了	8.057	NULL	NULL	荔鏡記--嘉靖
818	NULL	安童，你只潮州熟	安/童/，/你/只/潮州/熟	8.058	NULL	NULL	荔鏡記--嘉靖
819	NULL	可曉得只一陣娘仔	可/曉/得/只/一陣/娘仔	8.059	NULL	NULL	荔鏡記--嘉靖
820	NULL	正是值街巷上人	正是/值/街/巷/上/人	8.06	NULL	NULL	荔鏡記--嘉靖
821	淨	安童才自見許街邊人說	安/童/才/自/見/許/街/邊/人/說	8.061	NULL	NULL	荔鏡記--嘉靖
822	NULL	只一位娘仔	只/一/位/娘仔	8.062	NULL	NULL	荔鏡記--嘉靖
823	NULL	正是後溝王九郎个諸娘仔	正是/後/溝/王/九/郎/个/諸娘/仔	8.063	NULL	NULL	荔鏡記--嘉靖
824	生	潮州生得障般親淺孜娘	潮州/生/得/障/般/親/淺/孜/娘	8.064	NULL	NULL	荔鏡記--嘉靖
825	NULL	又逢著月光風靜	又/逢/著月/光/風/靜	8.065	NULL	NULL	荔鏡記--嘉靖
826	NULL	不得桃也可惜除	不/得/桃/也/可惜/除	8.066	NULL	NULL	荔鏡記--嘉靖
827	淨	官人	官人	8.067	NULL	NULL	荔鏡記--嘉靖
828	NULL	許前頭一陣娘仔	許/前/頭一/陣/娘仔	8.068	NULL	NULL	荔鏡記--嘉靖
829	NULL	生得句可親淺伊	生/得/句/可/親/淺/伊	8.069	NULL	NULL	荔鏡記--嘉靖
830	生	十箇九箇不踏五娘仔一倍	十/箇/九/箇/不/踏/五娘/仔/一/倍	8.07	NULL	NULL	荔鏡記--嘉靖
831	NULL	玉筍纖纖真箇滿面花月	玉/筍/纖纖/真/箇/滿面/花/月	8.071	NULL	NULL	荔鏡記--嘉靖
832	NULL	袂得近伊兜	袂得/近/伊/兜	8.072	NULL	NULL	荔鏡記--嘉靖
833	NULL	力拙恩愛全頭共伊細說	力/拙/恩愛/全/頭/共/伊/細/說	8.073	NULL	NULL	荔鏡記--嘉靖
834	NULL	星稀燈疏更漏短	星/稀/燈/疏/更漏/短	8.074	NULL	尾聲	荔鏡記--嘉靖
835	NULL	轉去傷心共誰說	轉去/傷心/共/誰/說	8.075	NULL	NULL	荔鏡記--嘉靖
836	NULL	阮官人著諸娘刈茹了	阮/官人/著/諸娘/刈/茹/了	8.076	NULL	生下淨笑	荔鏡記--嘉靖
837	NULL	叫；伊返去傷心，卜共誰說	叫/；/伊/返/去/傷心/，/卜/共/誰/說	8.077	NULL	NULL	荔鏡記--嘉靖
838	NULL	安童試學看說親像	安/童/試/學/看/說/親像	8.078	NULL	NULL	荔鏡記--嘉靖
839	NULL	星稀燈疏更漏短	星/稀/燈/疏/更漏/短	8.079	NULL	NULL	荔鏡記--嘉靖
840	NULL	轉去傷心共誰說	轉去/傷心/共/誰/說	8.08	NULL	並下	荔鏡記--嘉靖
841	NULL	林郎托媒	林/郎/托/媒	9	NULL	第九出	荔鏡記--嘉靖
842	淨上	元宵景十五冥	元宵/景/十/五/冥	9.001	婁婁金	NULL	荔鏡記--嘉靖
843	NULL	燈今看了人什靜	燈/今/看/了/人/什/靜	9.002	NULL	NULL	荔鏡記--嘉靖
844	NULL	移步還去厝	移/步/還/去/厝	9.003	NULL	NULL	荔鏡記--嘉靖
845	NULL	鼓打四更	鼓/打/四/更	9.004	NULL	NULL	荔鏡記--嘉靖
846	NULL	更RR	更/RR	9.005	NULL	起叫介唱	荔鏡記--嘉靖
847	NULL	懶今得桃盡今冥	懶/今/得/桃/盡/今/冥	9.006	NULL	NULL	荔鏡記--嘉靖
848	NULL	再卜相見著來年	再/卜/相見/著/來/年	9.007	NULL	NULL	荔鏡記--嘉靖
849	NULL	花色迷人如醉	花色/迷人/如/醉	9.008	NULL	NULL	荔鏡記--嘉靖
850	NULL	吟風嘯月而歸	吟/風/嘯/月/而/歸	9.009	NULL	NULL	荔鏡記--嘉靖
851	NULL	看伊人物爽利	看/伊/人物/爽/利	9.01	NULL	NULL	荔鏡記--嘉靖
852	NULL	賽過廟裏天妃	賽/過/廟/裏/天妃	9.011	NULL	NULL	荔鏡記--嘉靖
853	NULL	雜種烏龜	雜種/烏龜	9.012	NULL	笑介	荔鏡記--嘉靖
854	NULL	奇一火姿娘帶腰刀刈人	奇/一/火/姿娘/帶/腰/刀/刈/人	9.013	NULL	NULL	荔鏡記--嘉靖
855	NULL	我今不免只處坐	我/今/不免/只/處/坐	9.014	NULL	NULL	荔鏡記--嘉靖
856	NULL	等待李哥嫂只處過	等待/李/哥/嫂/只/處/過	9.015	NULL	NULL	荔鏡記--嘉靖
857	NULL	問伊是誰厝諸娘仔	問/伊/是/誰/厝/諸娘/仔	9.016	NULL	NULL	荔鏡記--嘉靖
858	NULL	央伊去現得來	央/伊/去/現/得來	9.017	NULL	NULL	荔鏡記--嘉靖
859	NULL	豈不妙哉	豈/不妙/哉	9.018	NULL	NULL	荔鏡記--嘉靖
860	丑上	彩樓好景致	彩樓/好景/致	9.019	賞宮花	NULL	荔鏡記--嘉靖
861	NULL	滿街是貴氣	滿/街/是/貴氣	9.02	NULL	NULL	荔鏡記--嘉靖
862	NULL	殘月更鼓催，雞聲啼	殘/月/更/鼓催/，/雞/聲/啼	9.021	NULL	NULL	荔鏡記--嘉靖
863	NULL	天光但得返去厝	天光/但/得/返/去/厝	9.022	NULL	NULL	荔鏡記--嘉靖
864	NULL	再卜得桃是來年	再/卜/得/桃/是/來/年	9.023	NULL	NULL	荔鏡記--嘉靖
865	丑	天日啞，是誰人	天/日/啞/，/是/誰/人	9.024	NULL	淨介丑介	荔鏡記--嘉靖
866	淨	是林大爹	是/林/大/爹	9.025	NULL	NULL	荔鏡記--嘉靖
867	丑	林大官	林/大官	9.026	NULL	NULL	荔鏡記--嘉靖
868	NULL	你三更半冥做鬼驚人	你/三/更/半/冥/做鬼/驚人	9.027	NULL	NULL	荔鏡記--嘉靖
869	淨	李婆	李/婆	9.028	NULL	NULL	荔鏡記--嘉靖
870	NULL	問你今即在值處	問/你/今/即/在/值/處	9.029	NULL	NULL	荔鏡記--嘉靖
871	NULL	櫒一觀音來看燈	櫒/一/觀音/來/看/燈	9.03	NULL	NULL	荔鏡記--嘉靖
872	丑	不是佛	不是/佛	9.031	NULL	NULL	荔鏡記--嘉靖
873	NULL	是大厝人姿娘仔	是/大厝/人/姿娘/仔	9.032	NULL	NULL	荔鏡記--嘉靖
874	淨	大家娘仔向細	大家/娘仔/向/細	9.033	NULL	NULL	荔鏡記--嘉靖
875	丑	伊是小娘仔	伊/是/小/娘仔	9.034	NULL	NULL	荔鏡記--嘉靖
876	淨	小娘仔向大	小/娘仔/向/大	9.035	NULL	NULL	荔鏡記--嘉靖
877	丑	林大官，你顛狂呾話	林/大官/，/你/顛/狂/呾/話	9.036	NULL	NULL	荔鏡記--嘉靖
878	淨	正是值家人姿娘仔	正是/值/家人/姿娘/仔	9.037	NULL	NULL	荔鏡記--嘉靖
879	丑	許正是後溝黃九郎孜娘仔	許/正是/後/溝/黃/九/郎/孜/娘仔	9.038	NULL	NULL	荔鏡記--嘉靖
880	NULL	名叫五娘	名叫/五娘	9.039	NULL	NULL	荔鏡記--嘉靖
881	淨	伊可見我不	伊/可見/我/不	9.04	NULL	NULL	荔鏡記--嘉靖
882	丑	伊見你	伊/見/你	9.041	NULL	NULL	荔鏡記--嘉靖
883	淨	叫我刈伊	叫/我/刈/伊	9.042	NULL	NULL	荔鏡記--嘉靖
884	丑	叫你刈伊	叫/你/刈/伊	9.043	NULL	NULL	荔鏡記--嘉靖
885	NULL	一冥返去厝祙睏得	一/冥/返/去/厝/祙/睏/得	9.044	NULL	NULL	荔鏡記--嘉靖
886	NULL	睏到日午即起	睏/到/日/午/即/起	9.045	NULL	NULL	荔鏡記--嘉靖
887	NULL	夭句叫你刈伊	夭/句/叫/你/刈/伊	9.046	NULL	NULL	荔鏡記--嘉靖
888	NULL	一頓食除三五碗	一/頓/食/除/三/五/碗	9.047	NULL	NULL	荔鏡記--嘉靖
889	NULL	著你刈一粒也祙添得	著/你/刈/一/粒/也/祙/添/得	9.048	NULL	NULL	荔鏡記--嘉靖
890	淨	賊烏龜	賊/烏龜	9.049	NULL	NULL	荔鏡記--嘉靖
891	NULL	即知林大爹刈人	即/知/林/大/爹/刈/人	9.05	NULL	NULL	荔鏡記--嘉靖
892	NULL	我今卜央你去求親	我/今/卜/央/你/去/求/親	9.051	NULL	NULL	荔鏡記--嘉靖
893	丑	我句袂做媒人	我/句/袂/做媒人	9.052	NULL	NULL	荔鏡記--嘉靖
894	淨	你侢年袂做媒人	你/侢/年/袂/做媒人	9.053	NULL	NULL	荔鏡記--嘉靖
895	丑	我句袂白賊	我/句/袂/白賊	9.054	NULL	NULL	荔鏡記--嘉靖
896	淨	永豐倉林大爹	永豐/倉/林/大/爹	9.055	NULL	NULL	荔鏡記--嘉靖
897	NULL	誰人不識	誰/人/不/識	9.056	NULL	NULL	荔鏡記--嘉靖
898	NULL	使你騙人	使/你/騙人	9.057	NULL	NULL	荔鏡記--嘉靖
899	丑	見是障說	見/是/障/說	9.058	NULL	NULL	荔鏡記--嘉靖
900	NULL	我乞一生月來乞你撿	我/乞/一生/月/來/乞/你/撿	9.059	NULL	NULL	荔鏡記--嘉靖
901	淨	你去乞一生月	你/去/乞/一生/月	9.06	NULL	NULL	荔鏡記--嘉靖
902	NULL	來乞我檢伊定准	來/乞/我/檢/伊/定准	9.061	NULL	NULL	荔鏡記--嘉靖
903	淨唱	我今央你去求親	我/今/央/你/去/求/親	9.062	四邊靜	NULL	荔鏡記--嘉靖
904	NULL	我拙年無ㄙ受艱辛	我/拙/年/無/ㄙ/受/艱辛	9.063	NULL	NULL	荔鏡記--嘉靖
905	NULL	姻緣都是天注定	姻緣/都/是/天/注定	9.064	NULL	NULL	荔鏡記--嘉靖
906	NULL	媒姨捍斗秤	媒/姨/捍/斗/秤	9.065	NULL	NULL	荔鏡記--嘉靖
907	合	再三央你求卜伊肯	再三/央/你/求/卜/伊/肯	9.066	NULL	NULL	荔鏡記--嘉靖
908	NULL	若得姻緣就	若/得/姻緣/就	9.067	NULL	NULL	荔鏡記--嘉靖
909	NULL	大雙金釵答謝恁	大/雙/金/釵/答謝/恁	9.068	NULL	NULL	荔鏡記--嘉靖
910	丑	林郎聽我說來因	林/郎/聽/我/說/來/因	9.069	NULL	NULL	荔鏡記--嘉靖
911	NULL	你今央我去求親	你/今/央/我/去/求/親	9.07	NULL	NULL	荔鏡記--嘉靖
912	NULL	五娘伊是天仙女	五娘/伊/是/天/仙女	9.071	NULL	NULL	荔鏡記--嘉靖
913	NULL	不是頭對不相陣	不是/頭對/不/相/陣	9.072	NULL	NULL	荔鏡記--嘉靖
914	合前	緊去緊來	緊/去/緊/來	9.073	NULL	NULL	荔鏡記--嘉靖
915	NULL	我甲人買一豬腳	我/甲/人/買/一/豬腳	9.074	NULL	NULL	荔鏡記--嘉靖
916	NULL	群得爛爛成屎，乞你食	群/得/爛/爛/成/屎/，/乞/你/食	9.075	NULL	NULL	荔鏡記--嘉靖
917	丑	許是你受用个	許/是/你/受/用/个	9.076	NULL	NULL	荔鏡記--嘉靖
918	NULL	五娘生得是仙才	五娘/生/得/是/仙/才	9.077	NULL	NULL	荔鏡記--嘉靖
